,id,wordCount,charNum,avgWordLen,stopWords,numeric_num,noun_count,verb_count,adj_count,adv_count,pron_count,id,host_listings_count,host_total_listings_count,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,score,id,summary_sentiment_neg,summary_sentiment_neu,summary_sentiment_pos,summary_sentiment_compound,space_sentiment_neg,space_sentiment_neu,space_sentiment_pos,space_sentiment_compound,description_sentiment_neg,description_sentiment_neu,description_sentiment_pos,description_sentiment_compound,neighborhood_overview_sentiment_neg,neighborhood_overview_sentiment_neu,neighborhood_overview_sentiment_pos,neighborhood_overview_sentiment_compound,notes_sentiment_neg,notes_sentiment_neu,notes_sentiment_pos,notes_sentiment_compound,transit_sentiment_neg,transit_sentiment_neu,transit_sentiment_pos,transit_sentiment_compound,access_sentiment_neg,access_sentiment_neu,access_sentiment_pos,access_sentiment_compound,interaction_sentiment_neg,interaction_sentiment_neu,interaction_sentiment_pos,interaction_sentiment_compound,house_rules_sentiment_neg,house_rules_sentiment_neu,house_rules_sentiment_pos,house_rules_sentiment_compound,host_about_sentiment_neg,host_about_sentiment_neu,host_about_sentiment_pos,host_about_sentiment_compound,above_median
0,44077,220.0,1358.0,6.172727272727273,0.0,8.0,96.0,37.0,44.0,19.0,0.0,44077.0,3.0,3.0,50.0,0.0,10.0,1.0,0.0,227.0,38.0,3.0,0.0,3.0,0.0,100.0,44077.0,0.0,0.87,0.13,0.9167,0.009000000000000001,0.8320000000000001,0.159,0.9826,0.0,0.8540000000000001,0.146,0.9808,0.061,0.809,0.13,0.7003,0.0,0.755,0.245,0.9136,0.040999999999999995,0.9590000000000001,0.0,-0.29600000000000004,0.0,0.831,0.16899999999999998,0.875,0.0,0.831,0.16899999999999998,0.6249,0.0,0.838,0.162,0.9747,0.0,0.584,0.41600000000000004,0.9786,1.0
1,85148,136.0,628.0,4.617647058823528,1.0,3.0,74.0,15.0,26.0,5.0,0.0,85148.0,1.0,1.0,30.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,,85148.0,0.0,0.0,0.0,0.0,0.023,0.8859999999999999,0.091,0.9231,0.023,0.8859999999999999,0.091,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.637,0.0,-0.5719,0.067,0.774,0.159,0.9499,
2,85156,268.0,1585.0,5.914179104477612,0.0,17.0,129.0,42.0,43.0,21.0,0.0,85156.0,3.0,3.0,50.0,0.0,10.0,1.0,0.0,182.0,47.0,3.0,0.0,3.0,0.0,98.33333333333334,85156.0,0.017,0.8759999999999999,0.107,0.8658,0.0,0.927,0.073,0.9214,0.009000000000000001,0.8959999999999999,0.096,0.9544,0.011000000000000001,0.777,0.212,0.9906,0.0,0.688,0.312,0.8957,0.0,0.941,0.059000000000000004,0.9107,0.0,0.815,0.185,0.7783,0.0,0.7170000000000001,0.28300000000000003,0.93,0.0,0.8320000000000001,0.168,0.9756,0.0,0.584,0.41600000000000004,0.9786,1.0
3,121030,203.0,1109.0,5.463054187192118,0.0,8.0,92.0,36.0,42.0,8.0,0.0,121030.0,4.0,4.0,55.0,0.0,0.0,1.0,13.0,110.0,0.0,3.0,0.0,3.0,0.0,91.66666666666666,121030.0,0.0,0.807,0.193,0.8439,0.011000000000000001,0.8690000000000001,0.12,0.966,0.0,0.856,0.14400000000000002,0.9778,0.0,0.7190000000000001,0.281,0.9454,0.0,0.9059999999999999,0.094,0.4019,0.0,1.0,0.0,0.0,0.0,0.898,0.102,0.3612,0.0,1.0,0.0,0.0,0.107,0.7170000000000001,0.17600000000000002,0.737,0.0,0.715,0.285,0.9937,0.0
4,159889,120.0,697.0,5.808333333333334,0.0,0.0,67.0,23.0,14.0,4.0,0.0,159889.0,0.0,0.0,29.0,0.0,16.0,1.0,0.0,311.0,54.0,3.0,0.0,3.0,0.0,98.33333333333334,159889.0,0.0,0.9570000000000001,0.043,0.0772,0.0,0.8590000000000001,0.141,0.9769,0.0,0.87,0.13,0.9719,0.0,0.8109999999999999,0.18899999999999997,0.4215,0.073,0.927,0.0,-0.29600000000000004,0.0,0.655,0.345,0.5766,0.040999999999999995,0.907,0.052000000000000005,0.1531,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8690000000000001,0.131,0.6792,1.0
5,162809,326.0,1935.0,5.935582822085888,0.0,7.0,154.0,45.0,77.0,23.0,0.0,162809.0,2.0,2.0,55.0,0.0,0.0,2.0,30.0,287.0,69.0,2.0,0.0,2.0,0.0,100.0,162809.0,0.015,0.7879999999999999,0.198,0.9493,0.0,0.715,0.285,0.9565,0.006999999999999999,0.75,0.243,0.9921,0.0,0.873,0.127,0.4939,0.04,0.861,0.1,0.3447,0.0,0.915,0.085,0.5859,0.0,1.0,0.0,0.0,0.0,0.7170000000000001,0.28300000000000003,0.8772,0.122,0.677,0.201,0.8893,0.012,0.83,0.157,0.9888,1.0
6,165828,220.0,1421.0,6.459090909090909,0.0,4.0,93.0,41.0,49.0,23.0,0.0,165828.0,5.0,5.0,147.0,0.0,50.0,3.0,0.0,43.0,10.0,5.0,5.0,0.0,0.0,93.33333333333334,165828.0,0.0,0.927,0.073,0.3182,0.0,0.8190000000000001,0.18100000000000002,0.9856,0.0,0.8370000000000001,0.163,0.9781,0.044000000000000004,0.738,0.218,0.9274,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.868,0.132,0.4404,0.0,0.956,0.044000000000000004,0.2235,0.223,0.777,0.0,-0.6808,0.006999999999999999,0.818,0.175,0.9865,0.0
7,165829,263.0,1619.0,6.155893536121672,0.0,17.0,128.0,38.0,56.0,14.0,0.0,165829.0,5.0,5.0,135.0,0.0,50.0,1.0,0.0,53.0,5.0,5.0,5.0,0.0,0.0,93.33333333333334,165829.0,0.0,0.935,0.065,0.3182,0.0,0.8420000000000001,0.158,0.9751,0.0,0.862,0.138,0.9595,0.028999999999999998,0.915,0.055999999999999994,0.5574,0.061,0.9390000000000001,0.0,-0.34,0.026000000000000002,0.925,0.05,0.6249,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.688,0.312,0.0,-0.5267,0.006999999999999999,0.818,0.175,0.9865,0.0
8,178860,302.0,1781.0,5.897350993377483,0.0,5.0,135.0,55.0,79.0,14.0,0.0,178860.0,2.0,2.0,56.0,100.0,40.0,1.0,25.0,312.0,30.0,2.0,1.0,1.0,0.0,100.0,178860.0,0.0,0.767,0.233,0.9612,0.0,0.778,0.222,0.9915,0.0,0.778,0.222,0.9918,0.0,0.821,0.179,0.9571,0.036000000000000004,0.8059999999999999,0.158,0.9686,0.16899999999999998,0.731,0.1,-0.4404,0.0,1.0,0.0,0.0,0.046,0.782,0.17300000000000001,0.7472,0.057,0.804,0.139,0.9413,0.0,0.63,0.37,0.9259,1.0
9,181823,176.0,972.0,5.5227272727272725,0.0,7.0,80.0,30.0,32.0,7.0,0.0,181823.0,4.0,4.0,75.0,0.0,0.0,1.0,17.0,110.0,73.0,3.0,0.0,3.0,0.0,98.33333333333334,181823.0,0.0,0.879,0.121,0.7579,0.011000000000000001,0.8740000000000001,0.115,0.9638,0.0,0.873,0.127,0.9738,0.0,0.7190000000000001,0.281,0.9454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.534,0.40399999999999997,0.9611,0.0,0.715,0.285,0.9937,1.0
10,200979,388.0,2143.0,5.52319587628866,0.0,19.0,217.0,60.0,53.0,11.0,0.0,200979.0,1.0,1.0,220.0,200.0,50.0,2.0,15.0,147.0,39.0,1.0,1.0,0.0,0.0,98.33333333333334,200979.0,0.019,0.868,0.114,0.8442,0.0,0.955,0.045,0.6486,0.01,0.9129999999999999,0.077,0.8885,0.0,0.9079999999999999,0.092,0.9509,0.026000000000000002,0.9129999999999999,0.06,0.4215,0.024,0.919,0.055999999999999994,0.7783,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031,0.713,0.255,0.971,0.0,0.85,0.15,0.9678,1.0
11,237465,152.0,881.0,5.796052631578947,0.0,2.0,64.0,21.0,32.0,19.0,1.0,237465.0,2.0,2.0,55.0,0.0,25.0,2.0,15.0,272.0,63.0,3.0,3.0,0.0,0.0,95.0,237465.0,0.0,0.8320000000000001,0.168,0.9136,0.012,0.905,0.083,0.9184,0.012,0.87,0.11800000000000001,0.9551,0.0,0.828,0.172,0.4404,0.077,0.8390000000000001,0.084,0.0531,0.034,0.966,0.0,-0.29600000000000004,0.0,0.7979999999999999,0.20199999999999999,0.5106,0.0,0.9079999999999999,0.092,0.6705,0.142,0.8190000000000001,0.039,-0.6369,0.0,1.0,0.0,0.0,0.0
12,245893,102.0,615.0,6.029411764705883,2.0,3.0,44.0,13.0,23.0,4.0,0.0,245893.0,2.0,2.0,45.0,100.0,0.0,1.0,10.0,16.0,0.0,2.0,0.0,2.0,0.0,98.33333333333334,245893.0,0.099,0.9009999999999999,0.0,-0.29600000000000004,0.031,0.892,0.077,0.8573,0.040999999999999995,0.909,0.051,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.935,0.0,-0.1531,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.215,0.634,0.151,-0.0772,0.233,0.59,0.177,-0.34,1.0
