,id,host_listings_count,host_total_listings_count,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,score
0,44077,3.0,3.0,50,0,10,1,0,227,38,3,0,3,0,100.0
1,85148,1.0,1.0,30,0,0,1,10,1,1,1,0,1,0,
2,85156,3.0,3.0,50,0,10,1,0,182,47,3,0,3,0,98.33333333333334
3,121030,4.0,4.0,55,0,0,1,13,110,0,3,0,3,0,91.66666666666666
4,159889,0.0,0.0,29,0,16,1,0,311,54,3,0,3,0,98.33333333333334
5,162809,2.0,2.0,55,0,0,2,30,287,69,2,0,2,0,100.0
6,165828,5.0,5.0,147,0,50,3,0,43,10,5,5,0,0,93.33333333333334
7,165829,5.0,5.0,135,0,50,1,0,53,5,5,5,0,0,93.33333333333334
8,178860,2.0,2.0,56,100,40,1,25,312,30,2,1,1,0,100.0
9,181823,4.0,4.0,75,0,0,1,17,110,73,3,0,3,0,98.33333333333334
10,200979,1.0,1.0,220,200,50,2,15,147,39,1,1,0,0,98.33333333333334
11,237465,2.0,2.0,55,0,25,2,15,272,63,3,3,0,0,95.0
12,245893,2.0,2.0,45,100,0,1,10,16,0,2,0,2,0,98.33333333333334
13,245903,2.0,2.0,30,100,0,1,10,35,5,2,0,2,0,98.33333333333334
14,254941,2.0,2.0,41,0,15,1,15,160,5,2,0,2,0,98.33333333333334
15,261248,1.0,1.0,36,0,0,1,15,212,52,2,0,2,0,91.66666666666666
16,266654,1.0,1.0,29,0,8,1,0,61,14,2,0,2,0,96.66666666666666
17,266672,1.0,1.0,41,0,8,1,0,48,0,2,0,2,0,91.66666666666666
18,266856,1.0,1.0,36,0,0,1,15,134,32,2,0,2,0,91.66666666666666
19,275425,1.0,1.0,248,0,45,4,15,8,2,1,1,0,0,100.0
20,286635,5.0,5.0,59,0,0,1,30,24,0,4,0,4,0,98.33333333333334
21,292757,1.0,1.0,120,0,86,1,80,332,69,1,1,0,0,100.0
22,302554,8.0,8.0,180,0,40,3,10,56,6,8,8,0,0,95.0
23,302634,8.0,8.0,100,0,25,2,0,81,8,8,8,0,0,93.33333333333334
24,314639,5.0,5.0,59,0,0,1,30,10,0,4,0,4,0,100.0
25,314640,5.0,5.0,59,0,0,1,30,11,0,4,0,4,0,93.33333333333334
26,314641,5.0,5.0,59,0,0,1,30,6,0,4,0,4,0,98.33333333333334
27,315698,1.0,1.0,56,0,0,1,19,239,22,1,0,1,0,100.0
28,333950,3.0,3.0,60,120,0,1,0,224,26,3,2,1,0,100.0
29,345398,2.0,2.0,48,0,15,1,15,38,6,2,0,2,0,93.33333333333334
30,365854,0.0,0.0,85,250,69,1,20,182,30,1,1,0,0,96.66666666666666
31,374792,5.0,5.0,135,0,50,3,0,28,3,5,5,0,0,93.33333333333334
32,386860,2.0,2.0,150,0,75,3,25,92,29,2,2,0,0,95.0
33,393631,1.0,1.0,180,250,65,4,35,72,0,1,1,0,0,95.0
34,419987,8.0,8.0,200,0,50,4,10,100,29,8,8,0,0,96.66666666666666
35,420297,3.0,3.0,50,0,10,1,0,209,48,3,0,3,0,98.33333333333334
36,424596,4.0,4.0,110,0,25,1,20,431,68,4,4,0,0,98.33333333333334
37,425164,1.0,1.0,110,0,0,2,35,240,6,1,0,1,0,100.0
38,426326,0.0,0.0,36,0,14,1,20,239,57,3,0,3,0,96.66666666666666
39,427077,4.0,4.0,110,0,25,1,20,438,57,4,4,0,0,98.33333333333334
40,427495,0.0,0.0,35,0,16,1,20,163,32,3,0,3,0,95.0
41,449556,2.0,2.0,145,0,0,3,0,214,28,2,0,2,0,90.0
42,451611,3.0,3.0,83,160,40,2,0,579,79,3,2,1,0,95.0
43,454183,4.0,4.0,80,0,20,1,0,64,22,4,3,1,0,95.0
44,460461,1.0,1.0,200,600,55,1,0,4,0,1,1,0,0,90.0
45,468082,2.0,2.0,70,0,20,2,35,200,52,2,0,2,0,96.66666666666666
46,497136,4.0,4.0,55,0,0,1,13,113,7,3,0,3,0,95.0
47,519416,1.0,1.0,52,300,40,1,48,238,23,1,0,1,0,96.66666666666666
48,522667,4.0,4.0,110,0,25,1,20,367,58,4,4,0,0,100.0
49,526767,3.0,3.0,140,200,50,2,20,500,61,1,1,0,0,98.33333333333334
50,536320,3.0,3.0,50,0,25,1,15,247,46,2,0,2,0,96.66666666666666
51,543972,0.0,0.0,199,150,39,6,20,58,7,1,1,0,0,88.33333333333334
52,547945,1.0,1.0,35,0,5,1,0,710,150,1,0,1,0,100.0
53,575339,1.0,1.0,50,0,0,1,0,0,0,1,0,1,0,
54,587218,2.0,2.0,80,0,0,1,0,191,21,1,0,1,0,100.0
55,592840,2.0,2.0,55,0,0,1,25,18,5,2,0,2,0,98.33333333333334
56,595320,2.0,2.0,40,400,20,1,10,45,0,2,0,2,0,96.66666666666666
57,610233,1.0,1.0,101,100,70,4,15,61,1,1,1,0,0,96.66666666666666
58,630655,3.0,3.0,50,0,15,1,0,190,10,2,0,2,0,98.33333333333334
59,637185,1.0,1.0,98,0,23,3,28,158,0,1,1,0,0,90.0
60,641880,2.0,2.0,85,0,0,1,0,46,0,2,1,1,0,95.0
61,654589,2.0,2.0,170,300,85,2,14,467,51,2,2,0,0,98.33333333333334
62,681875,4.0,4.0,48,100,20,1,15,24,6,4,0,4,0,93.33333333333334
63,690119,2.0,2.0,295,225,65,3,10,209,30,1,1,0,0,100.0
64,692956,2.0,2.0,55,250,30,1,20,265,46,1,1,0,0,98.33333333333334
65,700142,3.0,3.0,80,0,0,1,0,27,3,3,1,2,0,93.33333333333334
66,700193,3.0,3.0,300,0,0,1,0,1,1,3,1,2,0,100.0
67,715205,6.0,6.0,50,0,0,1,20,95,17,6,1,5,0,93.33333333333334
68,726011,1.0,1.0,110,100,25,2,20,116,31,1,1,0,0,100.0
69,726075,7.0,7.0,180,250,40,1,0,3,0,1,1,0,0,93.33333333333334
70,736751,6.0,6.0,50,0,0,1,20,69,19,6,1,5,0,95.0
71,736773,6.0,6.0,50,0,0,1,20,64,16,6,1,5,0,93.33333333333334
72,736794,6.0,6.0,50,0,0,1,20,80,24,6,1,5,0,93.33333333333334
73,742656,2.0,2.0,60,0,5,1,0,328,42,2,0,2,0,96.66666666666666
74,747284,1.0,1.0,89,0,45,1,0,29,14,1,1,0,0,100.0
75,747976,1.0,1.0,36,0,10,1,20,120,16,1,0,1,0,96.66666666666666
76,761912,1.0,1.0,100,200,30,2,30,65,11,1,0,1,0,100.0
77,800026,6.0,6.0,300,200,50,5,20,75,17,6,1,5,0,91.66666666666666
78,816039,2.0,2.0,238,200,50,4,30,188,6,2,2,0,0,96.66666666666666
79,849892,1.0,1.0,250,1000,150,6,40,0,0,1,1,0,0,
80,870350,2.0,2.0,90,0,0,1,0,45,7,2,2,0,0,100.0
81,872539,1.0,1.0,200,200,40,4,40,97,16,1,1,0,0,96.66666666666666
82,922425,3.0,3.0,134,250,40,1,0,126,27,3,2,1,0,96.66666666666666
83,928970,2.0,2.0,165,100,0,2,35,37,11,2,2,0,0,96.66666666666666
84,929816,2.0,2.0,75,0,30,1,0,161,22,2,1,1,0,100.0
